,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
79,10.0,57.0,10.0,359.75815868377686,481.0078659057617,-0.6786563764997628,-0.6786563764997628,0.0,933.0
80,10.0,93.0,10.0,411.6613199710846,369.2931799888611,-0.6799137272328181,-0.6799137272328181,0.0,897.0
81,10.0,118.0,10.0,312.1929829120636,299.62690711021423,-0.6056877697957708,-0.6056877697957708,0.0,872.0
82,10.0,82.0,10.0,314.75563883781433,353.3233528137207,-0.6083857277421351,-0.6083857277421351,0.0,908.0
83,10.0,72.0,10.0,314.16064381599426,304.80599904060364,-0.6998727034186897,-0.6998727034186897,0.0,918.0
84,10.0,162.0,10.0,511.4276530742645,399.75170493125916,-0.6961062373196513,-0.6961062373196513,0.0,828.0
85,10.0,111.0,10.0,412.73821091651917,394.09330320358276,-0.6454427751448067,-0.6454427751448067,0.0,879.0
86,10.0,64.0,10.0,398.1225907802582,394.1240589618683,-0.6037744864662141,-0.6037744864662141,0.0,926.0
87,10.0,111.0,10.0,493.0456600189209,415.03924679756165,-0.6974255914368448,-0.6974255914368448,0.0,879.0
88,10.0,106.0,10.0,422.8051357269287,405.9380919933319,-0.6959249532683877,-0.6959249532683877,0.0,884.0
89,10.0,116.0,10.0,422.4477300643921,485.62406826019287,-0.6982694768100802,-0.6982694768100802,0.0,874.0
90,10.0,100.0,10.0,427.86671805381775,407.6540560722351,-0.663069178935058,-0.663069178935058,0.0,890.0
91,10.0,81.0,10.0,423.0696539878845,415.63690304756165,-0.6674971993029374,-0.6674971993029374,0.0,909.0
92,10.0,64.0,10.0,416.57750487327576,406.2660331726074,-0.6244055024946848,-0.6244055024946848,2.0,926.0
93,10.0,49.0,10.0,427.4589500427246,475.9160180091858,-0.6933498720336769,-0.6933498720336769,0.0,941.0
94,10.0,74.0,10.0,437.13630199432373,401.85086703300476,-0.5868737156657747,-0.5868737156657747,0.0,916.0
95,10.0,93.0,10.0,423.3737790584564,405.0614788532257,-0.6700362871923662,-0.6700362871923662,0.0,897.0
96,10.0,86.0,10.0,418.7979452610016,403.4253737926483,-0.6483766193390684,-0.6483766193390684,1.0,904.0
97,10.0,57.0,10.0,413.6587607860565,466.26681995391846,-0.677820153543736,-0.677820153543736,0.0,933.0
98,10.0,141.0,10.0,433.0901041030884,411.7029650211334,-0.6292229703515082,-0.6292229703515082,0.0,849.0
99,10.0,63.0,10.0,549.4735329151154,466.36277198791504,-0.650284560573903,-0.650284560573903,0.0,927.0
